 array_element_name	array_element_type	organism	is_control	locus	description	chromosome
249449_at	oligonucleotide	Arabidopsis thaliana	no	AT5G39430	DUF1336 family protein, putative (DUF1336);(source:Araport11)	5
250752_at	oligonucleotide	Arabidopsis thaliana	no	AT5G05690	Encodes a member of the CP90A family, a cytochrome P450 monooxygenase which converts 6-deoxocathasterone to 6-deoxoteasterone in the late C6 oxidation pathway and cathasterone to teasterone in the early C6 oxidation pathway of brassinolide biosynthesis.  Expressed in cotyledons and leaves. Mutants display de-etiolation and derepression of light-induced genes in the dark, dwarfism, male sterility and activation of stress-regulated genes in the light. The expression of the gene using a CPD promoter:LUC fusion construct was shown to be under circadian and light control. Additionally, the circadian regulation was shown to be independent of BR levels as it remains unchanged in <i>bri1</i> mutant lines. CPD appears to be involved in the autonomous pathway that regulates the transition to flowering, primarily through a BRI1-mediated signaling pathway that affects FLC expression levels, as uncovered by double mutant analyses.	5
247413_at	oligonucleotide	Arabidopsis thaliana	no	AT5G63020	Nucleotide binding leucine rich repeat protein of the C-NB-LRR (CNL) type.  Involved in TOPP4 mediated immune response.	5
261211_at	oligonucleotide	Arabidopsis thaliana	no	AT1G12780	Encodes a UDP-glucose epimerase that catalyzes the interconversion of the sugar nucleotides UDP-glucose UDP-galactose via a UDP-4-keto-hexose intermediate. Responsive to stress.	1
266401_s_at	oligonucleotide	Arabidopsis thaliana	no	AT2G38620	Encodes a member of a plant specific family of cyclin dependent kinases.	2
245772_at	oligonucleotide	Arabidopsis thaliana	no	AT1G30300	Metallo-hydrolase/oxidoreductase superfamily protein;(source:Araport11)	1
255824_at	oligonucleotide	Arabidopsis thaliana	no	AT2G40530	transmembrane protein;(source:Araport11)	2
258774_at	oligonucleotide	Arabidopsis thaliana	no	AT3G10740	Encodes a bifunctional alpha-l-arabinofuranosidase/beta-d-xylosidase that belongs to family 51 of glycoside hydrolases.  It may be involved in cell wall modification.	3
267479_at	oligonucleotide	Arabidopsis thaliana	no	AT2G02690	Cysteine/Histidine-rich C1 domain family protein;(source:Araport11)	2
263152_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54060	Member of the trihelix DNA binding protein family. Nuclear localized. Involved in repressing seed maturation genes during seed germination and seedling development.	1
257132_at	oligonucleotide	Arabidopsis thaliana	no	AT3G20230	Ribosomal L18p/L5e family protein;(source:Araport11)	3
248332_at	oligonucleotide	Arabidopsis thaliana	no	AT5G52640	Encodes a cytosolic heat shock protein AtHSP90.1.  AtHSP90.1 interacts with disease resistance signaling components SGT1b and RAR1 and is required for RPS2-mediated resistance. The mRNA is cell-to-cell mobile.	5
259750_at	oligonucleotide	Arabidopsis thaliana	no	AT1G71130	encodes a member of the ERF (ethylene response factor) subfamily B-5 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 7 members in this subfamily.	1
249852_at	oligonucleotide	Arabidopsis thaliana	no	AT5G23270	Membrane localized sucrose transporter.	5
250857_at	oligonucleotide	Arabidopsis thaliana	no	AT5G04790	transmembrane protein;(source:Araport11)	5
256451_s_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75170	Sec14p-like phosphatidylinositol transfer family protein;(source:Araport11)	1
248761_at	oligonucleotide	Arabidopsis thaliana	no	AT5G47635	Pollen Ole e 1 allergen and extensin family protein;(source:Araport11)	5
253459_at	oligonucleotide	Arabidopsis thaliana	no	AT4G32080	hypothetical protein;(source:Araport11)	4
257348_at	oligonucleotide	Arabidopsis thaliana	no	AT2G42140	VQ motif-containing protein;(source:Araport11)	2
262054_s_at	oligonucleotide	Arabidopsis thaliana	no	AT1G79920	Heat shock protein 70 (Hsp 70) family protein;(source:Araport11)	1
254234_at	oligonucleotide	Arabidopsis thaliana	no	AT4G23680	Polyketide cyclase/dehydrase and lipid transport superfamily protein;(source:Araport11)	4
264356_at	oligonucleotide	Arabidopsis thaliana	no	AT1G03190	UV damage and heat induce a common stress response in plants that leads to tissue death and reduced chloroplast function. The UVH6 product is suggested to be a negative regulator of this response.	1
251411_at	oligonucleotide	Arabidopsis thaliana	no	AT3G60250	Regulatory (beta) subunit of the protein kinase CK2. Involved in regulation of the circadian clock in Arabidopsis	3
264197_at	oligonucleotide	Arabidopsis thaliana	no	AT1G22620	SAC domain phosphoinositide (3,5)P2 phosphatase. Colocalized  with a Golgi Marker. Required for normal cell morphogenesis, cell wall synthesis, and actin organization.	1
259216_at	oligonucleotide	Arabidopsis thaliana	no	AT3G09000	Encodes a microtubule-associated protein. Plays a minor role in cortical microtubule organization during leaf development.	3
253824_at	oligonucleotide	Arabidopsis thaliana	no	AT4G27940	manganese tracking factor for mitochondrial SOD2;(source:Araport11)	4
258910_at	oligonucleotide	Arabidopsis thaliana	no	AT3G06480	DEAD box RNA helicase family protein;(source:Araport11)	3
245160_at	oligonucleotide	Arabidopsis thaliana	no	AT2G33080	receptor like protein 28;(source:Araport11)	2
265134_at	oligonucleotide	Arabidopsis thaliana	no	AT1G51260	ACYL-COA:1-ACYLGLYCEROL-3-PHOSPHATE ACYLTRANSFERASE, PUTATIVE SIMILAR TO ACYL-COA:1-ACYLGLYCEROL-3-PHOSPHATE ACYLTRANSFERASE GI:4583544 FROM [BRASSICA NAPUS]	1
248872_at	oligonucleotide	Arabidopsis thaliana	no	AT5G46795	microspore-specific promoter 2;(source:Araport11)	5
254426_at	oligonucleotide	Arabidopsis thaliana	no	AT4G21240	F-box and associated interaction domains-containing protein;(source:Araport11)	4
254088_at	oligonucleotide	Arabidopsis thaliana	no	AT4G24880	snurportin-1 protein;(source:Araport11)	4
251294_at	oligonucleotide	Arabidopsis thaliana	no	AT3G61940	Member of Zinc transporter (ZAT) family. Expressed in roots under low zinc conditions.	3
245303_at	oligonucleotide	Arabidopsis thaliana	no	AT4G17010	transcription factor IIIB;(source:Araport11)	4
264632_at	oligonucleotide	Arabidopsis thaliana	no	AT1G65640	Encodes a putative DegP protease.	1
253502_at	oligonucleotide	Arabidopsis thaliana	no	AT4G31940	The gene encodes a cytochrome P450 enzyme, CYP82C. It is involved in the early Fe deficiency response.CYP82C4 hydroxylates fraxetin to generate sideretin (5-hydroxyfraxetin). Fraxetin and sideretin are catecholic coumarins secreted into the rhizosphere under conditions of low iron availability and help mobilize this nutrient from insoluble iron(III) pools in the soil.The mRNA is cell-to-cell mobile.	4
245402_at	oligonucleotide	Arabidopsis thaliana	no	AT4G17585	aluminum activated malate transporter family protein;(source:Araport11)	4
247696_at	oligonucleotide	Arabidopsis thaliana	no	AT5G59780	Encodes a putative transcription factor (MYB59). In roots it  is involved in K+/NO3- transport and expression of the NPF7.3 transporter.	5
261006_at	oligonucleotide	Arabidopsis thaliana	no	AT1G26410	FAD-binding Berberine family protein;(source:Araport11)	1
262214_at	oligonucleotide	Arabidopsis thaliana	no	AT1G74820	RmlC-like cupins superfamily protein;(source:Araport11)	1
248418_at	oligonucleotide	Arabidopsis thaliana	no	AT5G51660	cleavage and polyadenylation specificity factor 160;(source:Araport11)	5
262405_at	oligonucleotide	Arabidopsis thaliana	no	AT1G34650	Encodes a homeobox-leucine zipper family protein belonging to the HD-ZIP IV family.	1
255846_at	oligonucleotide	Arabidopsis thaliana	no	AT2G33610	Homologous to yeast SWI3 & RSC8, components of the SWI/SNF and RSC chromatin remodeling complexes. Interacts with BSH, AtSWI3A, SWI3C and FCA. Expressed ubiquitously.	2
264903_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23190	Encodes a cytosolic phosphoglucomutase (PGM).  Two Arabidopsis PGM proteins (AT1G70730/PGM2 and AT1G23190/PGM3) have high sequence similarities and redundant functions. Mature plants possessing a single cPGM allele had a major reduction in cPGM activity. Whereas pgm2 and pgm3 single mutants are undistinguishable from the wild type, loss of both PGM2 and PGM3 severely impairs male and female gametophyte development. The mRNA is cell-to-cell mobile.	1
263532_s_at	oligonucleotide	Arabidopsis thaliana	no	AT5G37350	Serine/threonine-protein kinase Rio1;(source:Araport11)	5
259662_at	oligonucleotide	Arabidopsis thaliana	no	AT1G55250	Gene encodes one of two orthologous E3 ubiquitin ligases in Arabidopsis that are involved in monoubiquitination of histone H2B.rRegulates expression of disease resistance genes.	1
259652_at	oligonucleotide	Arabidopsis thaliana	no	AT1G55250	Gene encodes one of two orthologous E3 ubiquitin ligases in Arabidopsis that are involved in monoubiquitination of histone H2B.rRegulates expression of disease resistance genes.	1
251762_at	oligonucleotide	Arabidopsis thaliana	no	AT3G55800	Encodes the chloroplast enzyme sedoheptulose-1,7-bisphosphatase (SBPase), involved in the carbon reduction of the Calvin cycle. Increase in SBPase activity in transgenic lines accumulate up to 50% more sucrose and starch than wild-type. The mRNA is cell-to-cell mobile.	3
247517_at	oligonucleotide	Arabidopsis thaliana	no	AT5G61780	Involved in the regulation of  AtGA20ox3 expression, as well as seed germination. The mRNA is cell-to-cell mobile.	5
246835_at	oligonucleotide	Arabidopsis thaliana	no	AT5G26640	anaphase-promoting complex subunit 11 RING-H2 finger protein;(source:Araport11)	5
260254_at	oligonucleotide	Arabidopsis thaliana	no	AT1G74210	Encodes a member of the glycerophosphodiester phosphodiesterase (GDPD) family.	1
248741_at	oligonucleotide	Arabidopsis thaliana	no	AT5G48170	encodes an F-box protein whose protein sequence is similar to SLY1, which belongs to SCF-SLY1 E3 ligase complex. SCF-SLY1 E3 ligase degrades DELLA proteins that are involved in promoting growth. Overexpression of SLY2 can partially compensate sly1-10 mutant phenotype of dwarfism.	5
249244_at	oligonucleotide	Arabidopsis thaliana	no	AT5G42270	VAR1 contains a conserved motif for ATPase and a metalloprotease characteristic to FtsH proteins, and is targeted into chloroplasts. A VAR1-fusion protein synthesized in vitro exhibited ATPase activity and partial metalloprotease activity. This protein is located to the thylakoid membrane and forms a complex with VAR2. FtsH1 (VAR1) and FtsH5 are interchangeable in thylakoid membranes. Phosphorylation of this protein is dependent on calcium. The mRNA is cell-to-cell mobile.	5
254641_at	oligonucleotide	Arabidopsis thaliana	no	AT4G18800	Encodes RabA1d, a member of the RabA subfamily of small Rab GTPases.	4
252872_at	oligonucleotide	Arabidopsis thaliana	no	AT4G40010	encodes a member of SNF1-related protein kinases (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress.	4
264944_at	oligonucleotide	Arabidopsis thaliana	no	AT1G76940	RNA-binding (RRM/RBD/RNP motifs) family protein;(source:Araport11)	1
257166_at	oligonucleotide	Arabidopsis thaliana	no	AT3G24710	NADPH-dependent diflavin oxidoreductase;(source:Araport11)	3
259327_at	oligonucleotide	Arabidopsis thaliana	no	AT3G16460	Mannose-binding protein	3
262168_at	oligonucleotide	Arabidopsis thaliana	no	AT1G74730	Encodes a grana core localized protein, is homologous to RIG1. Mutant plants have reduced NPQ, affected organization of light-havesting complex II and an enhanced grana stacking.	1
261727_at	oligonucleotide	Arabidopsis thaliana	no	AT1G76090	Encodes S-adenosyl-methionine-sterol-C-methyltransferase, an enzyme in the sterol biosynthetic pathway.	1
259067_at	oligonucleotide	Arabidopsis thaliana	no	AT3G07550	RNI-like superfamily protein;(source:Araport11)	3
262335_at	oligonucleotide	Arabidopsis thaliana	no	AT1G63990	Encodes AtSPO11-2, one of the three Arabidopsis homologues of the archaeal DNA topoisomerase VIA subunit (topo VIA).  Required for meiotic recombination.  Plants homozygous for atspo11-2 exhibit a severe sterility phenotype.  Both male and female meiosis are severely disrupted in the atspo11-2 mutant, and this is associated with severe defects in synapsis during the first meiotic division and reduced meiotic recombination.  AtSPO11-1 and AtSPO11-2 have overlapping functions (i.e. both required for meiotic recombination) whereas AtSPO11-3 functions in DNA replication. Required for double-strand break induction.	1
250262_at	oligonucleotide	Arabidopsis thaliana	no	AT5G13410	FKBP-like peptidyl-prolyl cis-trans isomerase family protein;(source:Araport11)	5
264757_at	oligonucleotide	Arabidopsis thaliana	no	AT1G61360	S-locus lectin protein kinase family protein;(source:Araport11)	1
263102_at	oligonucleotide	Arabidopsis thaliana	no	AT2G05270	hypothetical protein;(source:Araport11)	2
247357_at	oligonucleotide	Arabidopsis thaliana	no	AT5G63710	Leucine-rich repeat protein kinase family protein;(source:Araport11)	5
256508_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75140	membrane protein;(source:Araport11)	1
256718_at	oligonucleotide	Arabidopsis thaliana	no	AT2G34120	Cytochrome C oxidase polypeptide VIB family protein;(source:Araport11)	2
259560_at	oligonucleotide	Arabidopsis thaliana	no	AT1G21270	cytoplasmic serine/threonine protein kinase induced by salicylic acid. mutant plants exhibit a loss of cell expansion and dependence on sugars and salts for seedling growth, affecting the expression and activity of vacuolar invertase.	1
262401_at	oligonucleotide	Arabidopsis thaliana	no	AT1G49300	encodes a small GTPase involved in membrane trafficking. Gene expression is induced by hydrogen peroxide and lines. Lines overexpressing the gene are more tolerant to high salt and hyperosmotic conditions.	1
254699_at	oligonucleotide	Arabidopsis thaliana	no	AT4G17990	hypothetical protein;(source:Araport11)	4
254372_at	oligonucleotide	Arabidopsis thaliana	no	AT4G21620	glycine-rich protein;(source:Araport11)	4
263183_at	oligonucleotide	Arabidopsis thaliana	no	AT1G05570	Encodes a callose synthase 1 catalytic subunit . Member of Glycosyltransferase Family- 48.	1
248010_at	oligonucleotide	Arabidopsis thaliana	no	AT5G56290	Encodes the peroxisomal targeting signal type 1 receptor that facilitates peroxisomal protein translocation. It recognizes proteins with the PTS1 consensus sequence (tripeptide SKL or a conserved variant) at the extreme C terminus.  The protein has several domains, including C-terminal tetratricopeptide repeat motifs which act in binding the C-terminal "SKL" targeting signal.  The mechanism of transport has been worked out in other organisms:  The receptor recognizes and binds cytosolic PTS1-containing proteins.  The PEX5-PTS1 complex binds a PEX14/PEX13 receptor complex at the peroxisome membrane and is translocated into the peroxisome matrix in a process dependent on PEX2,PEX10, and PEX12.  In the peroxisome matrix, PEX5 releases its cargo and is recycled to the cytosol in a process dependent on PEX1, PEX4, PEX6 and PEX22.  It is also involved, in conjunction with PEX7, in PTS1- and PTS2-dependent peroxisomal protein import.  RNAi experiments suggest that PEX5 is necessary for the maintenance of both glyoxysomal and leaf peroxisomal functions.	5
262319_s_at	oligonucleotide	Arabidopsis thaliana	no	AT1G27540	F-box protein (DUF295);(source:Araport11)	1
248991_at	oligonucleotide	Arabidopsis thaliana	no	AT5G45220	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)	5
263148_at	oligonucleotide	Arabidopsis thaliana	no	AT1G53945	polyubiquitin-like protein;(source:Araport11)	1
258085_at	oligonucleotide	Arabidopsis thaliana	no	AT3G26100	Regulator of chromosome condensation (RCC1) family protein;(source:Araport11)	3
260606_at	oligonucleotide	Arabidopsis thaliana	no	AT2G43770	Transducin/WD40 repeat-like superfamily protein;(source:Araport11)	2
250108_at	oligonucleotide	Arabidopsis thaliana	no	AT5G15150	homeobox-containing gene with an unusual feature:  a leucine zipper motif adjacent to the carboxyl-terminal  of the homeodomain structure.  This gene is expressed  primarily in the cortex of the root and the stem.	5
267314_at	oligonucleotide	Arabidopsis thaliana	no	AT2G34730	myosin heavy chain-like protein;(source:Araport11)	2
255619_s_at	oligonucleotide	Arabidopsis thaliana	no	AT4G01350	Cysteine/Histidine-rich C1 domain family protein;(source:Araport11)	4
247734_at	oligonucleotide	Arabidopsis thaliana	no	AT5G59400	PGR5-like A protein;(source:Araport11)	5
266403_at	oligonucleotide	Arabidopsis thaliana	no	AT2G38600	HAD superfamily, subfamily IIIB acid phosphatase;(source:Araport11)	2
255594_at	oligonucleotide	Arabidopsis thaliana	no	AT4G01660	Encodes an ABC1-like protein, member of the ATH subfamily; putative ABC transporter; isolated by functional complementation of a yeast abc1 mutant The mRNA is cell-to-cell mobile.	4
248564_at	oligonucleotide	Arabidopsis thaliana	no	AT5G49700	Putative AT-hook DNA-binding family protein;(source:Araport11)	5
266427_at	oligonucleotide	Arabidopsis thaliana	no	AT2G07170	ARM repeat superfamily protein;(source:Araport11)	2
245457_s_at	oligonucleotide	Arabidopsis thaliana	no	AT4G16940	Redundant function together with SIKIC2 and 3 in SNC1-mediated autoimmunity. Protein levels controlled by MUSE1 and MUSE2.	4
249074_at	oligonucleotide	Arabidopsis thaliana	no	AT5G44080	Basic-leucine zipper (bZIP) transcription factor family protein;(source:Araport11)	5
246797_at	oligonucleotide	Arabidopsis thaliana	no	AT5G26790	transmembrane protein;(source:Araport11)	5
249221_at	oligonucleotide	Arabidopsis thaliana	no	AT5G42440	Protein kinase superfamily protein;(source:Araport11)	5
253388_at	oligonucleotide	Arabidopsis thaliana	no	AT4G32910	SBB1 is a putative nucleoporin that is localized to the nuclear envelope. SBB1 was identified in a screen for supressors of BAK1, BKK1 mediated cell death.	4
264530_at	oligonucleotide	Arabidopsis thaliana	no	AT1G30780	F-box associated ubiquitination effector family protein;(source:Araport11)	1
248945_at	oligonucleotide	Arabidopsis thaliana	no	AT5G45510	Leucine-rich repeat (LRR) family protein;(source:Araport11)	5
247140_at	oligonucleotide	Arabidopsis thaliana	no	AT5G66250	kinectin-like protein;(source:Araport11)	5
245727_at	oligonucleotide	Arabidopsis thaliana	no	AT1G73350	ankyrin repeat protein;(source:Araport11)	1
249169_at	oligonucleotide	Arabidopsis thaliana	no	AT5G42880	WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT-like protein (DUF827);(source:Araport11)	5
249709_at	oligonucleotide	Arabidopsis thaliana	no	AT5G35670	Member of IQ67 (CaM binding) domain containing family.	5
253832_at	oligonucleotide	Arabidopsis thaliana	no	AT4G27654	transmembrane protein;(source:Araport11)	4
248520_at	oligonucleotide	Arabidopsis thaliana	no	AT5G50600	Encodes a hydroxysteroid dehydrogenase shown to act as a NADP+-dependent 11&beta;-,17&beta;-hydroxysteroid dehydrogenase/17&beta;-ketosteroid reductase called HSD1.  Two copies of HSD1 (At5g50600 and At5g50700) exist in the Arabidopsis genome as a result of an exact 33-kb duplication on chromosome 5 encompassing seven genes.  There are five homologs of HSD1 in Arabidopsis (HSD2-At3g47350, HSD3-At3g47360, HSD4-At5g50590, HSD4-At5g50690 and HSD6-At5g50770; HSD4 has two copies due to the same gene duplication event occurred to HSD1) (Plant Cell Physiology 50:1463). At5g50690 is also named as HSD7 (Plant Physiology 145:87).  HSD1 is identified from the proteome of oil bodies from mature seeds.  Transcription of HSD1 is specifically and highly induced in oil-accumulating tissues of mature seeds; transcript disappears during germination. To date, the endogenous substrates of this enzyme are not known.	5
267417_at	oligonucleotide	Arabidopsis thaliana	no	AT2G34990	RING/U-box superfamily protein;(source:Araport11)	2
249859_at	oligonucleotide	Arabidopsis thaliana	no	AT5G22840	Protein kinase superfamily protein;(source:Araport11)	5
248144_at	oligonucleotide	Arabidopsis thaliana	no	AT5G54800	Encodes glucose6-Phosphate/phosphate transporter 1.  Essential for pollen maturation and embryo sac development. The mRNA is cell-to-cell mobile.	5
266405_at	oligonucleotide	Arabidopsis thaliana	no	AT2G38580	Mitochondrial ATP synthase D chain-related protein;(source:Araport11)	2
249772_at	oligonucleotide	Arabidopsis thaliana	no	AT5G24130	polypyrimidine tract-binding-like protein;(source:Araport11)	5
255061_at	oligonucleotide	Arabidopsis thaliana	no	AT4G08930	Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily.  This protein also belongs to the adenosine 5'-phosphosulfate reductase-like (APRL) group. The mRNA is cell-to-cell mobile.	4
265374_at	oligonucleotide	Arabidopsis thaliana	no	AT2G06520	Encodes a protein with sequence similarity to the spinach photosystem II subunit PsbX.	2
252154_at	oligonucleotide	Arabidopsis thaliana	no	AT3G50880	DNA glycosylase superfamily protein;(source:Araport11)	3
262548_at	oligonucleotide	Arabidopsis thaliana	no	AT1G31280	Encodes Argonaute gene that binds viral siRNAs and is involved in antiviral defense response. Regulates innate immunity.Mutants have increased susceptibility to Potato virus X and tobacco rattle virus.	1
261025_at	oligonucleotide	Arabidopsis thaliana	no	AT1G01225	NC domain-containing protein-like protein;(source:Araport11)	1
254355_at	oligonucleotide	Arabidopsis thaliana	no	AT4G22380	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein;(source:Araport11)	4
255539_at	oligonucleotide	Arabidopsis thaliana	no	AT4G01710	belongs to the DIS(distorted) gene family. Encodes a actin polymerization factor. Involved in cell expansion of trichome.	4
251609_at	oligonucleotide	Arabidopsis thaliana	no	AT3G57900	import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein;(source:Araport11)	3
259120_at	oligonucleotide	Arabidopsis thaliana	no	AT3G02240	Encodes a root meristem growth factor (RGF).  Belongs to a family of functionally redundant homologous peptides that are secreted, tyrosine-sulfated, and expressed mainly in the stem cell area and the innermost layer of central columella cells. RGFs are required for maintenance of the root stem cell niche and transit amplifying cell proliferation.  Members of this family include: At5g60810 (RGF1), At1g13620 (RGF2), At2g04025 (RGF3), At3g30350 (RGF4), At5g51451 (RGF5), At4g16515 (RGF6), At3g02240 (RGF7), At2g03830 (RGF8) and At5g64770 (RGF9).	3
264358_at	oligonucleotide	Arabidopsis thaliana	no	AT1G03180	non-structural protein;(source:Araport11)	1
250910_at	oligonucleotide	Arabidopsis thaliana	no	AT5G03720	Member of Heat Stress Transcription Factor (Hsf) family. Expression is regulated by DREB2A and in turn HSFA3 regulates the expression of hsps Hsp18.1-CI and Hsp26.5-MII35S. Involved in  establishing thermotolerence.	5
253917_at	oligonucleotide	Arabidopsis thaliana	no	AT4G27380	hypothetical protein;(source:Araport11)	4
246284_at	oligonucleotide	Arabidopsis thaliana	no	AT4G36780	BES1/BZR1 homolog 2;(source:Araport11)	4
250042_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18420	CCR4-NOT transcription complex subunit;(source:Araport11)	5
247980_at	oligonucleotide	Arabidopsis thaliana	no	AT5G56860	Encodes a member of the GATA factor family of zinc finger transcription factors. Modulate chlorophyll biosynthesis and glutamate synthase (GLU1/Fd-GOGAT) expression.	5
264813_at	oligonucleotide	Arabidopsis thaliana	no	AT2G17890	Encodes a member of Calcium Dependent Protein Kinase. Protein is N-myristoylated. Localizes to the plasma membrane. Localizes to the chloroplast when the myristoylation motif is mutated.	2
251166_at	oligonucleotide	Arabidopsis thaliana	no	AT3G63350	member of Heat Stress Transcription Factor (Hsf) family	3
247346_at	oligonucleotide	Arabidopsis thaliana	no	AT5G63770	a member of the diacylglycerol kinase gene family. Encodes a functional diacylglycerol kinase. Involved in root elongation and plant development. Gene expression is induced by wounding or cold.	5
267570_at	oligonucleotide	Arabidopsis thaliana	no	AT2G30800	Has RNA or DNA helicase activity and expressed specifically in tapetum and vascular tissue. First identified member of a new group of the mle helicase group of the DEAH family.	2
260662_at	oligonucleotide	Arabidopsis thaliana	no	AT1G19540	NmrA-like negative transcriptional regulator family protein;(source:Araport11)	1
250927_at	oligonucleotide	Arabidopsis thaliana	no	AT5G03270	lysine decarboxylase family protein;(source:Araport11)	5
249986_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18460	carboxyl-terminal peptidase (DUF239);(source:Araport11)	5
264556_at	oligonucleotide	Arabidopsis thaliana	no	AT1G09540	Encodes putative transcription factor. Mutants lack of mucilage extrusion from the seeds during imbibition.  Reduced quantities of mucilage are deposited during the development of the seed coat epidermis in myb61 mutants. Expressed in guard cells,loss of function mutations show an increase in stomatal pore opening suggesting a role in ABA independent regulation of stomatal pore size.	1
245661_at	oligonucleotide	Arabidopsis thaliana	no	AT1G28220	Member of a family of proteins related to PUP1, a purine transporter. May be involved in the transport of purine and purine derivatives such as cytokinins, across the plasma membrane.	1
251148_at	oligonucleotide	Arabidopsis thaliana	no	AT3G63180	TIC-like protein;(source:Araport11)	3
259250_at	oligonucleotide	Arabidopsis thaliana	no	AT3G07580	hypothetical protein;(source:Araport11)	3
251501_at	oligonucleotide	Arabidopsis thaliana	no	AT3G59120	Cysteine/Histidine-rich C1 domain family protein;(source:Araport11)	3
253165_at	oligonucleotide	Arabidopsis thaliana	no	AT4G35320	hypothetical protein;(source:Araport11)	4
262156_at	oligonucleotide	Arabidopsis thaliana	no	AT1G52680	late embryogenesis abundant protein-related / LEA protein-like protein;(source:Araport11)	1
250255_at	oligonucleotide	Arabidopsis thaliana	no	AT5G13730	Encodes sigma 4 factor, involved in regulating the activity of the plastid-encoded  RNA polymerase PEP. Regulates the overall  quantity of NDH complexes and thus influences NDH activity.	5
250477_at	oligonucleotide	Arabidopsis thaliana	no	AT5G10190	Major facilitator superfamily protein;(source:Araport11)	5
259462_at	oligonucleotide	Arabidopsis thaliana	no	AT1G18940	Nodulin-like / Major Facilitator Superfamily protein;(source:Araport11)	1
249216_at	oligonucleotide	Arabidopsis thaliana	no	AT5G42240	serine carboxypeptidase-like 42;(source:Araport11)	5
267189_at	oligonucleotide	Arabidopsis thaliana	no	AT2G44180	Encodes a MAP2 like methionine aminopeptidase. In MAP1A mutant background plants show an increased sensitivity to fumagillin resulting in defects in development. Phenotype is similar to RNAi lines which knock out all MAP2/MAP1 loci.	2
245098_at	oligonucleotide	Arabidopsis thaliana	no	AT2G40940	Ethylene receptor, subfamily 1. Has histidine kinase activity.	2
265105_s_at	oligonucleotide	Arabidopsis thaliana	no	AT1G62580	Encodes a flavin monooxygenase that binds NO, has a higher affinity for NO than for O(2) and can generate cGMP from GTP in vitro in an NO-dependent manner.	1
260479_at	oligonucleotide	Arabidopsis thaliana	no	AT1G11020	RING/FYVE/PHD zinc finger superfamily protein;(source:Araport11)	1
250699_at	oligonucleotide	Arabidopsis thaliana	no	AT5G06820	STRUBBELIG-receptor family 2;(source:Araport11)	5
262980_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75680	glycosyl hydrolase 9B7;(source:Araport11)	1
248280_at	oligonucleotide	Arabidopsis thaliana	no	AT5G52950	LIM domain protein;(source:Araport11)	5
252155_at	oligonucleotide	Arabidopsis thaliana	no	AT3G50920	Encodes a phosphatidic acid phosphatase that can be detected in chloroplast membrane fractions. This gene (LPPepsilon1) and LPPepsilon2, appear to be less important for diacylglycerol formation in the plastids than LPPgamma.	3
254841_at	oligonucleotide	Arabidopsis thaliana	no	AT4G11940	Encodes a nuclear localized dosage sensitive paternally expressed imprinted gene. It is a member of a family of molecular chaperones called J-domain. Loss of ADM function suppresses seed abortion of triploid embryos and also partially rescues the effect of mea mutations.	4
248093_at	oligonucleotide	Arabidopsis thaliana	no	AT5G55210	hypothetical protein;(source:Araport11)	5
249361_at	oligonucleotide	Arabidopsis thaliana	no	AT5G40540	Protein kinase superfamily protein;(source:Araport11)	5
258602_at	oligonucleotide	Arabidopsis thaliana	no	AT3G02750	Protein phosphatase 2C family protein;(source:Araport11)	3
245694_at	oligonucleotide	Arabidopsis thaliana	no	AT5G04170	Calcium-binding EF-hand family protein;(source:Araport11)	5
263276_at	oligonucleotide	Arabidopsis thaliana	no	AT2G14100	a member of the cytochrome P450 family	2
262933_at	oligonucleotide	Arabidopsis thaliana	no	AT1G65840	encodes a peroxisomal polyamine oxidase, involved in the back-conversion polyamine degradation pathway. Among the five polyamine oxidases in the Arabidopsis genome, PAO4 is the major isoform in root peroxisomes. The mRNA is cell-to-cell mobile.	1
246287_at	oligonucleotide	Arabidopsis thaliana	no	AT1G31870	Ortholog of yeast BUD13. Functions in pre mRNA processing of RNAs expressed in embryos.	1
252888_at	oligonucleotide	Arabidopsis thaliana	no	AT4G39210	Encodes the large subunit of ADP-Glucose Pyrophosphorylase which catalyzes the first, rate limiting step in starch biosynthesis. The large subunit plays a regulatory role whereas the small subunit (ApS) is the catalytic isoform. Four isoforms (ApL1-4) have been identified. ApL3 is the major large subunit isoform present in inflorescences, fruits and roots.	4
251367_at	oligonucleotide	Arabidopsis thaliana	no	AT3G61350	Encodes an SKP1 interacting partner (SKIP4).	3
260229_at	oligonucleotide	Arabidopsis thaliana	no	AT1G74370	RING/U-box superfamily protein;(source:Araport11)	1
